lat,lon,alt,date,device,os,version
53.6978569031,-1.77878725529,105.486755371,2013-01-13 15:34:24,"iPhone3,1",6.0.1,1.1
53.6881828308,-1.78524744511,111.895141602,2013-01-13 15:38:40,"iPhone3,1",6.0.1,1.1
53.6983375549,-1.7793956995,145.578872681,2013-01-13 15:47:12,"iPhone3,1",6.0.1,1.1
53.6922912598,-1.75832867622,109.90209198,2013-01-13 16:08:32,"iPhone3,1",6.0.1,1.1
53.6787605286,-1.70244765282,109.946815491,2013-01-13 16:14:56,"iPhone3,1",6.0.1,1.1
53.6649780273,-1.51437330246,23.4794578552,2013-01-13 16:23:28,"iPhone3,1",6.0.1,1.1
53.6782226562,-1.48580181599,33.9325180054,2013-01-13 16:32:00,"iPhone3,1",6.0.1,1.1
53.6464233398,-1.38319969177,33.9923591614,2013-01-13 16:46:56,"iPhone3,1",6.0.1,1.1
53.567325592,-1.20061314106,32.1000556946,2013-01-13 16:55:28,"iPhone3,1",6.0.1,1.1
53.5387191772,-1.16509234905,0,2013-01-13 17:10:24,"iPhone3,1",6.0.1,1.1
53.4890441895,-1.14763319492,0,2013-01-13 17:18:56,"iPhone3,1",6.0.1,1.1
53.3799362183,-1.00321030617,15.8742771149,2013-01-13 17:25:20,"iPhone3,1",6.0.1,1.1
53.1557884216,-0.857055604458,20.5311889648,2013-01-13 17:36:00,"iPhone3,1",6.0.1,1.1
53.0245285034,-0.739534556866,15.5183410645,2013-01-13 17:42:24,"iPhone3,1",6.0.1,1.1
52.7115859985,-0.4852617383,15.5183410645,2013-01-13 17:55:12,"iPhone3,1",6.0.1,1.1
52.5416908264,-0.28051301837,15.5183410645,2013-01-13 18:01:36,"iPhone3,1",6.0.1,1.1
52.2974357605,-0.236375495791,15.5183410645,2013-01-13 18:12:16,"iPhone3,1",6.0.1,1.1
52.0523643494,-0.252595126629,15.5183410645,2013-01-13 18:18:40,"iPhone3,1",6.0.1,1.1
51.6654968262,-0.171496480703,15.5183410645,2013-01-13 18:33:36,"iPhone3,1",6.0.1,1.1
51.5526428223,-0.112985707819,38.2880210876,2013-01-13 18:40:00,"iPhone3,1",6.0.1,1.1
51.5306968689,-0.122498810291,22.6462440491,2013-01-13 18:48:32,"iPhone3,1",6.0.1,1.1
51.5251617432,-0.116572707891,34,2013-01-13 18:57:04,"iPhone3,1",6.0.1,1.1
51.518611908,-0.116611965001,34,2013-01-13 19:07:44,"iPhone3,1",6.0.1,1.1
51.5111351013,-0.119464851916,34,2013-01-13 19:29:04,"iPhone3,1",6.0.1,1.1
51.506893158,-0.11588909477,34,2013-01-13 19:35:28,"iPhone3,1",6.0.1,1.1
51.5077400208,-0.108691930771,34,2013-01-13 19:41:52,"iPhone3,1",6.0.1,1.1
51.503780365,-0.102388426661,34,2013-01-13 19:50:24,"iPhone3,1",6.0.1,1.1
51.5071105957,-0.107254400849,33.6637649536,2013-01-14 10:54:56,"iPhone3,1",6.0.1,1.1
51.5118713379,-0.105543829501,34,2013-01-14 17:31:44,"iPhone3,1",6.0.1,1.1
51.5179176331,-0.105029404163,33.8540000916,2013-01-14 17:40:16,"iPhone3,1",6.0.1,1.1
51.5241279602,-0.109505660832,31.3887634277,2013-01-14 17:46:40,"iPhone3,1",6.0.1,1.1
51.520198822,-0.104696124792,32.6292037964,2013-01-14 19:14:08,"iPhone3,1",6.0.1,1.1
51.5141716003,-0.104241348803,33.9651298523,2013-01-14 19:24:48,"iPhone3,1",6.0.1,1.1
51.5081825256,-0.0987544208765,14.0274524689,2013-01-14 19:44:00,"iPhone3,1",6.0.1,1.1
51.5037460327,-0.102777726948,16.4429645538,2013-01-14 19:52:32,"iPhone3,1",6.0.1,1.1
51.5024642944,-0.109934151173,33.5888557434,2013-01-15 09:36:00,"iPhone3,1",6.0.1,1.1
51.5071296692,-0.10712851584,33.9270324707,2013-01-15 09:53:04,"iPhone3,1",6.0.1,1.1
51.5015945435,-0.11090247333,34,2013-01-15 13:09:20,"iPhone3,1",6.0.1,1.1
51.4524803162,-0.177947625518,14.5065193176,2013-01-15 13:47:44,"iPhone3,1",6.0.1,1.1
51.3841629028,-0.33987891674,14.7976665497,2013-01-15 13:56:16,"iPhone3,1",6.0.1,1.1
51.3465995789,-0.49225372076,14.7976665497,2013-01-15 14:00:32,"iPhone3,1",6.0.1,1.1
51.3067131042,-0.629221141338,14.7976665497,2013-01-15 14:09:04,"iPhone3,1",6.0.1,1.1
51.2876739502,-0.809338092804,14.7976665497,2013-01-15 14:19:44,"iPhone3,1",6.0.1,1.1
51.2907600403,-0.921970486641,14.7976665497,2013-01-15 14:26:08,"iPhone3,1",6.0.1,1.1
